Client,Project,Name,Task,Date,Hours,Note,Billable
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-11,8,Reviewed branding with client,No
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-12,7,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-13,6.5,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-14,8,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-15,7.5,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-16,6,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-17,7,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-18,6,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-19,0,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-20,0,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Project Meeting,2023-08-20,1,Project meeting,No
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-21,0,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-22,0,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-23,-2,Designed logo,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-24,0,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-25,1,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-26,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-27,0,Created brand style guide,No
Client 2,Book Localization to Ukraine,Xu Li,Design,2023-08-28,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-24,0.5,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-25,2.5,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-26,1.5,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-27,1,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Project Meeting,2023-07-27,1,Project meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-28,2.5,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-29,2,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-30,1,Reviewed design revisions,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-07-31,2,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-01,1,Held design review meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-02,1.5,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-03,2.5,Reviewed design revisions,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-04,0.5,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-05,1.5,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-06,2,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-07,1.5,Managed and coordinated design team,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-08,2.5,Held design review meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-09,2,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-10,2,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-11,2,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-12,0.5,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-13,1,Held design review meeting,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-14,1,Managed and coordinated design team,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-15,2,Held design review meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-16,2,Reviewed design revisions,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-17,1.5,Reviewed design revisions,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-18,0,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-19,0,Held design review meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-20,0,Reviewed design revisions,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-21,0,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-22,0,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-23,0,Reviewed design revisions,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-24,0,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-25,0,Provided feedback on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Project Meeting,2023-08-25,1,Project meeting,No
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-26,0,Managed and coordinated design team,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-27,0,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,John Smith,Design,2023-08-28,0,Consulted with client on design,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-24,0,Developed brand identity and guidelines,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-25,0,Created brand style guide,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-26,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-27,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-28,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-29,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-30,0,Designed logo,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-07-31,0,Made revisions to branding,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-01,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-02,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-03,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-04,0,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-05,0,Reviewed branding with client,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-06,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-07,0,Reviewed branding with client,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-08,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-09,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-10,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Project Meeting,2023-08-10,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-11,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-12,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-13,0,Developed brand identity and guidelines,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-14,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-15,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-16,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-17,0,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-18,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-19,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-20,0,Created brand style guide,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-21,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-22,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Project Meeting,2023-08-22,2,Project meeting,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-23,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Project Meeting,2023-08-23,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-24,0,Designed logo,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-25,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-26,0,Developed brand identity and guidelines,Yes
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-27,0,Reviewed branding with client,No
Client 2,Book Localization to Ukraine,Ana Suarez,Design,2023-08-28,0,Made revisions to branding,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-10,2,Coordinated project tasks and timelines,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-11,0.5,Communicated with client,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-12,0,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-13,1,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-14,1.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-15,0,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-07-15,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-16,2,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-17,1,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-18,0.5,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-19,2,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-20,2,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-21,1,Facilitated team meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-22,1.5,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-23,0.5,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-24,1.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-25,0.5,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-26,0.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-07-26,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-27,1.5,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-07-27,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-28,2,Communicated with client,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-29,1,Communicated with client,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-30,0.5,Communicated with client,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-07-31,0.5,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-07-31,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-01,0.5,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-01,1.5,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-02,2,Communicated with client,No
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-02,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-03,1,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-04,0.5,Facilitated team meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-05,0.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-06,1,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-07,0,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-08,0.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-09,1.5,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-10,0,Communicated with client,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-11,1,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-12,1.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-13,0.5,Adjusted project timeline,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-14,1,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-14,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-15,1,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-16,0,Communicated with client,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-16,1,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-17,0,Coordinated project tasks and timelines,No
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-17,2,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-18,0,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-19,0,Communicated with client,No
Client 2,Book Localization to Ukraine,Ali Khan,Project Meeting,2023-08-19,0.5,Project meeting,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-20,0,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-21,0,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-22,0,Coordinated project tasks and timelines,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-23,0,Communicated with client,No
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-24,0,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-25,0,Communicated with client,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-26,0,Checked in on project progress,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-27,0,Facilitated team meeting,Yes
Client 2,Book Localization to Ukraine,Ali Khan,Management,2023-08-28,0,Facilitated team meeting,Yes
